code_string,code_num,BUILDING,POSTAL,X,Y,LATITUDE,LONGITUDE
TE,1,WOODLANDS NORTH,737668,22699.9912448721,47770.3945726696,1.4482924525962,103.785692682441
TE,2,WOODLANDS,737736,22949.9191319831,46417.5223346148,1.43605761708128,103.787938777173
TE,3,WOODLANDS SOUTH,737741,23542.5545697259,45459.758821588,1.42739605281442,103.79326432221
NS,1,JURONG EAST,609690,17869.0570516568,35038.9688695427,1.33315281585761,103.742286332403
NS,2,BUKIT BATOK,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309
NS,3,BUKIT GOMBAK,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733
NS,4,CHOA CHU KANG,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756
NS,5,YEW TEE,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236
NS,7,KRANJI,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497
NS,8,MARSILING,739044,21407.0413211482,46026.5125302058,1.43252114855026,103.774074641403
NS,9,WOODLANDS,738343,22741.5981903812,46501.7861009166,1.43681962961518,103.786066799253
NS,10,ADMIRALTY,738344,24402.3844474982,46918.5022012144,1.44058852001081,103.800990500189
NS,11,SEMBAWANG,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211
NS,12,CANBERRA,756972,27597.5969376964,47193.6008830499,1.44307664075698,103.829702590959
NS,13,YISHUN,769093,28187.6788169928,45686.0705381557,1.42944308477331,103.835005047246
NS,14,KHATIB,769092,27962.3108561579,44352.5679935999,1.41738337009565,103.832979908243
NS,15,YIO CHU KANG,569813,29294.1262330338,40413.0626359228,1.38175587099131,103.84494727118
NS,16,ANG MO KIO,569811,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232
NS,17,BISHAN,579827,29649.8988074977,36994.4330169763,1.35083898784737,103.848143964542
NS,18,BRADDELL,319756,29500.2349482412,35847.7719815206,1.3404690010277,103.846799083148
NS,19,TOA PAYOH,319398,29578.4890669128,34980.8962922301,1.33262928096888,103.847502198048
NS,20,NOVENA,307642,29169.3297925005,33633.1535391063,1.32044079120154,103.843825618748
NS,21,NEWTON,228234,28519.2830723543,32735.0770371091,1.31231892240969,103.837984594021
NS,22,ORCHARD,238878,27880.5544290915,31812.9941194523,1.3039799337073,103.832245305297
NS,23,SOMERSET,238162,28641.8346576076,31402.1245223526,1.30026416739004,103.839085753124
NS,24,DHOBY GHAUT,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951
NS,25,CITY HALL,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366
NS,26,RAFFLES PLACE,048618,30019.180527918,29617.6125848945,1.28412561043657,103.851461712342
NS,27,MARINA BAY,018925,30367.9547207942,28764.4959340338,1.276410298755,103.854595522263
NS,28,MARINA SOUTH PIER,018948,31241.8260070179,28169.2510934137,1.27102703612006,103.862447515736
NE,1,HARBOURFRONT,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095
NE,3,OUTRAM PARK,059816,28681.2492930563,29130.5222722683,1.27972059383555,103.839439862425
NE,4,CHINATOWN,059443,29124.9480295833,29643.4802091382,1.28435959278582,103.843426681863
NE,5,CLARKE QUAY,059815,29473.1249443376,30088.7037861496,1.28838602407587,103.846555209694
NE,6,DHOBY GHAUT,238889,29354.3680562023,31340.347900534,1.29970545852797,103.845488184359
NE,7,LITTLE INDIA,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738
NE,8,FARRER PARK,218703,30243.5206485614,32689.3795552086,1.31190557325774,103.853477716509
NE,9,BOON KENG,328260,31144.045013207,33510.9746132698,1.31933570922513,103.861569454156
NE,10,POTONG PASIR,347694,31977.1667550961,34842.7250955887,1.33137949021367,103.869055656782
NE,11,WOODLEIGH,347695,32173.3185749156,35706.3793633711,1.33919004519388,103.87081830915
NE,12,SERANGOON,534801,32480.0729367165,36869.3930099793,1.34970788089564,103.873574849884
NE,13,KOVAN,534799,33758.7578018578,38027.2794417515,1.36017917065237,103.885064856353
NE,14,HOUGANG,538758,34572.8752453458,39256.1282835789,1.37129226620797,103.892380513029
NE,15,BUANGKOK,545061,34655.4250568021,40536.3401684985,1.38287001971672,103.893122569706
NE,16,SENGKANG,545062,34918.2740132138,41512.1276907362,1.3916946260152,103.895484694279
NE,17,PUNGGOL,828868,35651.382800173,42933.2482692804,1.40454653668991,103.902072622229
EW,1,PASIR RIS,519634,40905.597462655,39449.9823396821,1.37304331635804,103.949284527763
EW,2,TAMPINES,529538,40444.9732025806,37267.0262664594,1.35330167637375,103.945144586749
EW,3,SIMEI,529888,41361.2281713123,36149.7527796105,1.34319707851829,103.953377214378
EW,4,TANAH MERAH,467356,40579.0997793637,34379.4316836372,1.32718729074673,103.946348600798
EW,5,BEDOK,467347,38757.952049505,34024.7047772072,1.32397996868158,103.929984495066
EW,6,KEMBANGAN,416551,36861.9614935443,33699.3440501876,1.3210381335934,103.912947930851
EW,7,EUNOS,409423,35779.9889810132,33560.585745465,1.31978354779205,103.903225812967
EW,8,PAYA LEBAR,409006,34648.7236344032,33375.6688563768,1.31811149224527,103.893060771576
EW,9,ALJUNIED,388310,33518.6048692847,33190.002017457,1.3164326118157,103.882906044385
EW,10,KALLANG,387405,32236.6038438473,32643.3302382641,1.3114889099882,103.871386541754
EW,11,LAVENDER,208699,31277.4062337531,32188.7337866109,1.30737781747062,103.862767633888
EW,12,BUGIS,188022,30491.5350240096,31424.2825327814,1.3004644634548,103.855706146461
EW,13,CITY HALL,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366
EW,14,RAFFLES PLACE,048618,30019.180527918,29617.6125848945,1.28412561043657,103.851461712342
EW,15,TANJONG PAGAR,069119,29380.7567437869,28781.1883335691,1.27656131737246,103.845725186759
EW,16,OUTRAM PARK,169037,28646.8726726929,29316.780396251,1.28140504772212,103.839130979249
EW,17,TIONG BAHRU,168731,27346.3322650846,29836.2044219468,1.28610253615775,103.827445112419
EW,18,REDHILL,158792,26155.053497511,30226.759782847,1.28963453412887,103.81674097205
EW,19,QUEENSTOWN,149729,24968.2673462247,30770.3911128063,1.29455085184929,103.806077155982
EW,20,COMMONWEALTH,149735,24094.7951433668,31649.5989169721,1.30250199924323,103.798228523336
EW,21,BUONA VISTA,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502
EW,22,DOVER,138677,21914.5509301452,32634.1186314393,1.31140529320963,103.778637841909
EW,23,CLEMENTI,129580,20418.1055078562,33044.4944669213,1.31511625277378,103.765191452888
EW,24,JURONG EAST,609690,17869.0570516568,35038.9688695427,1.33315281585761,103.742286332403
EW,25,CHINESE GARDEN,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363
EW,26,LAKESIDE,649845,15494.4969534362,36267.1470333859,1.34425911493819,103.720949087456
EW,27,BOON LAY,649846,13837.9827195406,35641.9191215802,1.33860405469845,103.706064622772
EW,28,PIONEER,648310,12864.9698331021,35529.5115483906,1.33758701106708,103.697321608474
EW,29,JOO KOON,629116,10756.3379743481,34438.2617777772,1.3277170408447,103.678374996165
EW,30,GUL CIRCLE,637288,8770.35150132887,33526.5733700171,1.31947090075209,103.660530461345
EW,31,TUAS CRESCENT,639608,7495.83786702435,33698.7263109088,1.32102695598684,103.649078235627
EW,32,TUAS WEST ROAD,639609,6442.92861192208,34689.3517738562,1.32998504653102,103.639616648771
EW,33,TUAS LINK,638418,6150.86278806347,35894.3582222275,1.34088242451105,103.636991425128
DT,1,BUKIT PANJANG,678213,20011.3981217332,40108.6837660205,1.37900211641035,103.761535114929
DT,2,CASHEW,679696,20334.5589111606,39092.8585418891,1.36981544925551,103.76443921414
DT,3,HILLVIEW,678211,20666.0675499607,38266.7898455672,1.36234486803558,103.767418254007
DT,5,BEAUTY WORLD,588216,21598.1664763764,35931.2358860858,1.34122317558549,103.775794285083
DT,6,KING ALBERT PARK,599987,22444.4895690959,35316.2479055841,1.33566161262214,103.783399113441
DT,7,SIXTH AVENUE,269784,23947.7493738988,34785.0233010761,1.33085764536226,103.796906838288
DT,8,TAN KAH KEE,266268,25155.6221095249,34198.8053115103,1.32555623519897,103.807760304729
DT,9,BOTANIC GARDENS,259777,26074.1720875856,33859.5354773961,1.32248807089544,103.816013994259
DT,10,STEVENS,257877,27188.2299643802,33591.6608552355,1.32006555750625,103.826024401924
DT,11,NEWTON,229901,28489.236438402,32920.1726889089,1.31399286264569,103.837714613091
DT,12,LITTLE INDIA,229902,29707.4618838392,32148.9626245815,1.30701826765224,103.848660935092
DT,13,ROCHOR,188505,30164.7018503863,31798.8766778279,1.30385218527654,103.852769428884
DT,14,BUGIS,188476,30649.548578986,31297.0167998672,1.29931350399328,103.857125958751
DT,15,PROMENADE,039194,31068.6608139481,30586.9369543009,1.29289175383295,103.860891800025
DT,16,BAYFRONT,018957,30867.0092712184,29368.6250332333,1.28187378879209,103.859079764874
DT,17,DOWNTOWN,018969,30172.6259479877,29100.1875779163,1.27944619017898,103.852840444471
DT,18,TELOK AYER,048416,29706.1259155739,29390.1953907572,1.28206894769394,103.848648781083
DT,19,CHINATOWN,058362,29316.0490006926,29628.4789423887,1.28422391919085,103.845143798953
DT,20,FORT CANNING,179038,29225.6276065866,30541.6087720692,1.29248194822995,103.844331362465
DT,21,BENCOOLEN,189658,29895.8639496444,31253.3258734122,1.29891843369422,103.850353762717
DT,22,JALAN BESAR,208826,30445.8529787809,31944.7496234626,1.3051713878069,103.855295713435
DT,23,BENDEMEER,339356,31300.7676084097,32884.7709222045,1.31367252847691,103.862977620945
DT,24,GEYLANG BAHRU,339355,32262.8612591857,33728.3126899004,1.3213011022832,103.871622627142
DT,25,MATTAR,379314,33556.5834402461,34344.8585332558,1.32687671501334,103.883247509542
DT,26,MACPHERSON,378956,34230.0104828067,34264.5435281098,1.3261502445736,103.889298600376
DT,27,UBI,408899,35334.8918333696,34687.4109907392,1.32997425973972,103.899226655439
DT,28,KAKI BUKIT,415804,36362.3782825153,35239.5522551257,1.33496735995428,103.908459338046
DT,29,BEDOK NORTH,479481,37421.7438196167,35214.6803870108,1.33474211664092,103.91797832995
DT,30,BEDOK RESERVOIR,469724,39008.3131622663,35421.0408713054,1.33660782955099,103.932234623286
DT,31,TAMPINES WEST,529683,39698.5275852969,36406.0143331178,1.34551530560119,103.938436971222
DT,32,TAMPINES,529544,40207.3952279184,37471.4394600224,1.35515041120472,103.943009883131
DT,33,TAMPINES EAST,529623,41501.0748521937,37586.6177644413,1.35619148271544,103.9546344625
DT,34,UPPER CHANGI,485990,42262.1685391255,35988.6579741593,1.34173978431349,103.961472614026
DT,35,EXPO,485985,42362.6034600167,35285.7083877847,1.33538252614955,103.962374747451
CG,1,EXPO,486065,42270.6232344816,35193.6223453786,1.33454977824816,103.961548211018
CG,2,CHANGI AIRPORT,819661,45201.320394692,37729.1933764666,1.35747897447692,103.98788356959
CE,1,BAYFRONT,018957,30867.0092712184,29368.6250332333,1.28187378879209,103.859079764874
CE,2,MARINA BAY,018926,30462.7349769669,28746.9336326458,1.27625146423743,103.855447156279
CC,1,DHOBY GHAUT,238893,29443.8824096406,31252.5723822247,1.29891164362675,103.84629250696
CC,2,BRAS BASAH,189561,29930.7673842637,31025.9015965667,1.29686168649655,103.850667371637
CC,3,ESPLANADE,189562,30421.9934839159,30671.6277715843,1.2936577245386,103.855081226245
CC,4,PROMENADE,039193,31008.3618750935,30709.2578067128,1.29399798636231,103.860350000188
CC,5,NICOLL HIGHWAY,038970,31374.1649264134,31347.1528697051,1.29976684675137,103.86363696572
CC,6,STADIUM,397692,32676.3477050858,31683.9407594204,1.3028124684707,103.875337711089
CC,7,MOUNTBATTEN,398006,33476.563426869,32058.7418466732,1.30620190525331,103.882528081052
CC,8,DAKOTA,397973,34204.0252977135,32318.1744557619,1.30854798388122,103.889064718377
CC,9,PAYA LEBAR,409049,34559.6916920897,33280.1181892157,1.31724738540347,103.892260753884
CC,10,MACPHERSON,409048,34351.6177675035,34256.5138255134,1.32607760171665,103.890391305725
CC,11,TAI SENG,534803,34128.792347569,35258.74881576,1.33514150139202,103.888389300191
CC,12,BARTLEY,539788,33214.9339675205,36072.5255325548,1.34250117805243,103.880177899184
CC,13,SERANGOON,556082,32390.6852547908,36971.7545485683,1.35063361526525,103.872771660431
CC,14,LORONG CHUAN,554533,31431.4054671209,37079.9443690311,1.35161217074555,103.864151938651
CC,15,BISHAN,579842,29760.7755471431,37047.1573323701,1.35131580146658,103.84914026532
CC,16,MARYMOUNT,573993,28679.3687734958,36758.7136478554,1.348707263451,103.839423132332
CC,17,CALDECOTT,298113,28691.2450525351,35538.7680123672,1.33767450815619,103.839529820338
CC,19,BOTANIC GARDENS,257494,25959.6005048994,33818.1442215387,1.32211373558875,103.814984510627
CC,20,FARRER ROAD,268857,25113.2011973979,33301.2602245007,1.31743915158966,103.807379214161
CC,21,HOLLAND VILLAGE,278995,23891.2152273953,32726.4128267691,1.31224029631595,103.796399122407
CC,22,BUONA VISTA,139350,23257.9930265341,32106.5630513821,1.30663450405,103.790709404436
CC,23,NORTH,138647,22896.0728127016,31346.4080956969,1.29975987493554,103.78745750525
CC,24,KENT RIDGE,118177,22575.0107144611,30657.9332947638,1.29353349887123,103.784572738173
CC,25,HAW PAR VILLA,117396,22261.1431040755,29445.802035436,1.28257135772487,103.781752725064
CC,26,PASIR PANJANG,117424,23329.2647148455,28742.7657615561,1.27621352233766,103.791350313288
CC,27,LABRADOR PARK,109029,24584.7750495933,28304.9440988898,1.27225417749655,103.802631578766
CC,28,TELOK BLANGAH,109028,25378.2908018399,28133.7990515903,1.2707064771776,103.809761611219
CC,29,HARBOURFRONT,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095
